"[all run data]","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen"
,"83","519883","61.141064601509655","83","529630","61.395941574355454","83","528538","61.748848152141946","83","481780","60.23919223605529","83","494503","56.3180080384276","83","528010","60.9352024311342","83","536215","59.84707381629252","83","519181","60.807763944711304","83","543292","64.98382511518479","83","532648","63.033035976865015"
,"84","527431","61.36653269287325","84","536203","61.50377413979022","84","535684","61.84687775708264","84","488671","60.34702480149005","84","502048","56.42584060386236","84","534694","61.062640917557104","84","543427","59.86667973728066","84","526411","60.9352024311342","84","550504","65.0426428781492","84","539827","63.16047446328791"
,"85","534289","61.53318302127243","85","543487","61.62140966571904","85","542731","61.905695520047054","85","495754","60.4254484854426","85","508969","56.523870208803054","85","541897","61.19007940398","85","550897","59.94510342123321","85","533539","61.09204979903931","85","557461","65.08185472012548","85","546565","63.24870110773453"
,"86","541723","61.739045191647875","86","550435","61.660621507695325","86","549820","61.92530144103519","86","502864","60.44505440643074","86","515965","56.59249093226154","86","548785","61.35672973237918","86","558166","60.0137241446917","86","540502","61.23909420645035","86","564976","65.15047544358396","86","553705","63.346730712675225"
,"87","548842","61.89589255955298","87","557473","61.719439270659734","87","556579","62.003725124987746","87","509932","60.56268993235957","87","522784","56.65130869522596","87","555805","61.53318302127243","87","565498","60.05293598666797","87","547489","61.34692677188511","87","571849","65.18968728556024","87","560662","63.49377512008626"
,"88","556171","62.02333104597588","88","564574","61.78805999411822","88","563980","62.05273992745809","88","516754","60.650916576806196","88","530302","56.719929418684444","88","562990","61.69003038917753","88","572809","60.15096559160867","88","554842","61.386138613861384","88","578596","65.27791393000686","88","567556","63.57219880403882"
,"89","562807","62.0821488089403","89","572272","61.9547103225174","89","570745","62.10175472992844","89","523789","60.76855210273502","89","537910","56.798353102636995","89","570397","61.78805999411822","89","580051","60.23919223605529","89","562354","61.425350455837666","89","585841","65.34653465346534","89","574816","63.67022840897951"
,"90","569809","62.11155769042251","90","579430","62.10175472992844","90","578080","62.2095872953632","90","530959","60.905793549651996","90","545251","56.86697382609548","90","577411","61.88608959905891","90","586969","60.33722184099598","90","569593","61.50377413979022","90","592822","65.41515537692383","90","581959","63.7682580139202"
,"91","576502","62.170375453386924","91","586579","62.2095872953632","91","584911","62.337025781786096","91","538720","60.95480835212234","91","552331","56.9552004705421","91","584584","62.013528085481816","91","594061","60.4254484854426","91","576703","61.59200078423684","91","599920","65.53279090285267","91","588733","63.84668169787276"
,"92","583702","62.248799137339475","92","593623","62.27820801882169","92","591724","62.39584354475051","92","545875","60.98421723360455","92","560011","57.09244191745908","92","591619","62.09195176943437","92","601477","60.53328105087736","92","584122","61.69003038917753","92","606703","65.63082050779335","92","595840","64.00352906577785"
,"93","590872","62.327222821292025","93","600457","62.40564650524458","93","598549","62.44485834722086","93","553150","61.07244387805117","93","567529","57.24928928536418","93","598567","62.19978433486913","93","608740","60.631310655818055","93","591088","61.78805999411822","93","613963","65.76806195471032","93","602827","64.1211645917067"
,"94","598150","62.45466130771493","94","607759","62.49387314969121","94","605593","62.55269091265562","94","560356","61.160670522497796","94","574672","57.308107048328594","94","605620","62.327222821292025","94","615829","60.6803254582884","94","598678","61.85668071757671","94","621085","65.89550044113322","94","609649","64.26820899911773"
